221210 100433.449|CONFIG|qtp18242360-26|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
221210 100433.449|INFO|qtp18242360-26|info|
221210 100433.450|INFO|qtp18242360-26|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
221210 100433.450|INFO|qtp18242360-26|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
221210 100433.451|INFO|qtp18242360-26|startLog|Process id is 11520@DESKTOP-D75BQTV
221210 100433.451|INFO|qtp18242360-26|start|Starting ConnectionManager...
221210 100433.452|INFO|qtp18242360-26|start|Started ConnectionManager
221210 100433.453|INFO|qtp18242360-26|setClientServerAndPort|INIFile File location: file:/C:/Users/18328/Desktop/pc2/WebTeamInterface-1.1/pc2v9.ini
221210 100433.453|INFO|qtp18242360-26|setClientServerAndPort|setClientServerAndPort 212.212.212.212 parsed as 212.212.212.212 port 50002
221210 100433.453|INFO|qtp18242360-26|info|Contacting server at 212.212.212.212:50002
221210 100433.453|INFO|qtp18242360-26|connectToMyServer|Connecting to 212.212.212.212:50002
221210 100433.454|INFO|Thread-40|receiveUnencrypted|receiveUnencrypted(TransportWrapper, ConnectionHandlerID=Socket[addr=/212.212.212.212,port=50002,localport=55376]-1741411456400282686)
221210 100433.456|INFO|Thread-40|receiveUnencrypted|receiveUnencrypted Made a secret key for Socket[addr=/212.212.212.212,port=50002,localport=55376]-1741411456400282686 key is com.sun.crypto.provider.DESKey@fffe7c5a
