221210 095957.452|CONFIG|qtp996796369-16333|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
221210 095957.452|INFO|qtp996796369-16333|info|
221210 095957.453|INFO|qtp996796369-16333|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
221210 095957.453|INFO|qtp996796369-16333|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
221210 095957.454|INFO|qtp996796369-16333|startLog|Process id is 20708@DESKTOP-D75BQTV
221210 095957.454|INFO|qtp996796369-16333|start|Starting ConnectionManager...
221210 095957.454|INFO|qtp996796369-16333|start|Started ConnectionManager
221210 095957.455|INFO|qtp996796369-16333|setClientServerAndPort|INIFile File location: file:/C:/Users/18328/Desktop/pc2/WebTeamInterface-1.1/pc2v9.ini
221210 095957.455|INFO|qtp996796369-16333|setClientServerAndPort|setClientServerAndPort 212.212.212.212 parsed as 212.212.212.212 port 50002
221210 095957.455|INFO|qtp996796369-16333|info|Contacting server at 212.212.212.212:50002
221210 095957.455|INFO|qtp996796369-16333|connectToMyServer|Connecting to 212.212.212.212:50002
221210 095957.457|INFO|Thread-17863|receiveUnencrypted|receiveUnencrypted(TransportWrapper, ConnectionHandlerID=Socket[addr=/212.212.212.212,port=50002,localport=55009]-1170601908665867477)
221210 095957.457|INFO|Thread-17863|receiveUnencrypted|receiveUnencrypted Made a secret key for Socket[addr=/212.212.212.212,port=50002,localport=55009]-1170601908665867477 key is com.sun.crypto.provider.DESKey@fffe790b
